sample	geo_loc_name	shannon
SON60	Arizona	4.518205986757489
SEV30	New Mexico	6.534722541810802
SON57	Arizona	3.529032225903284
HSN023	Utah	5.312861811057762
HS003	Utah	5.587357582906387
CYAN3	New Mexico	5.501395484890836
